Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
Bimbagu  Jandering,Bimbagu,Rural,Batch 4,Bunkpurugu-Nakpanduri,145,138,Disbursement
Kukore,Kukore,Rural,Batch 4,Bawku West,38,30,Disbursement
ZANWARA,ZANWARA,Rural,Batch 4,Mamprugu Moagduri,54,54,Mentoring
BENGULA,BENGULA,Rural,Batch 4,Pusiga,85,85,Mentoring
FILASU,FILASU,Rural,Batch 5,Chereponi,95,95,Mentoring
GBANGU,GBANGU,Rural,Batch 5,East Mamprusi,152,152,Mentoring
NANGOGODI-DABORIN,NANGOGODI-DABORIN,Rural,Batch 5,Nabdam,84,84,Mentoring
WIDIATIKORA,WIDIATIKORA,Rural,Batch 5,Pusiga,156,156,Mentoring
SAMBOLGO,SAMBOLGO,Rural,Batch 5,Bongo,72,72,Mentoring
BADOMSA,BADOMSA,Rural,Batch 5,Builsa North,166,166,Mentoring
NABOK,NABOK,Rural,Batch 5,Nabdam,76,76,Mentoring
YARIGA NO 2,YARIGA NO 2,Rural,Batch 5,Pusiga,99,99,Mentoring
OMATI,OMATI,Rural,Batch 5,Chereponi,107,107,Disbursement
NAKAMBO,NAKAMBO,Rural,Batch 5,Pusiga,59,59,Formation
CHONDEMA,CHONDEMA,Rural,Batch 5,Builsa North,138,138,Disbursement
YOROGO CLUSTER (C),YOROBULUGU,Urban,Batch 5,Bolgatanga Municipal,95,95,Disbursement
SHERIGU CLUSTER (E),ABONGABISI,Urban,Batch 5,Bolgatanga Municipal,157,157,Disbursement
MANYORO CLUSTER,MAMYORO GWOARE,Urban,Batch 5,Kassena-Nankana Municipal,131,131,Formation
NAAGA CLUSTER,NAAGA CHAABA,Urban,Batch 5,Kassena-Nankana Municipal,73,73,Formation
SHELINVOYA,SHELINVOYA,Rural,Batch 5,West Mamprusi,121,121,Disbursement
JIMBILI,JIMBILI,Rural,Batch 5,Chereponi,47,47,Disbursement
PUSIGA DA PWD cluster A,Gareke,Rural,Batch 6 (PWD),Pusiga,33,33,Enrolment
TEMPANE DA PWD cluster A,Bugpiigu ,Rural,Batch 6 (PWD),Tempane,0,0,Planning
YUNYOO-NASUAN DA PWD cluster B,Majeefuuk,Rural,Batch 6 (PWD),Yunyoo-Nasuan District,47,47,Planning
BUNKPURUGU DA PWD cluster B,Kpentaug,Rural,Batch 6 (PWD),Bunkpurugu-Nakpanduri,20,14,Planning
KULGONA,KULGONA,Rural,Batch 4,East Mamprusi,165,165,Mentoring
BAARE SAKPARI,BAARE SAKPARI,Rural,Batch 4,Talensi,75,75,Mentoring
SABEOGO,SABEOGO,Rural,Batch 5,Bawku West,22,22,Mentoring
ABILYERI-ZONGO,ABILYERI-ZONGO,Rural,Batch 5,Builsa North,108,108,Disbursement
ASYLUM-DOWN,ASYLUM-DOWN,Rural,Batch 5,Chereponi,118,118,Disbursement
